Financial institution;Code;TCB;SR;TD;TC;Headquarters - City;Headquarters - State;Date;Total Assets;Loan, Lease and Other Credit Operations by Risk Level;Short and Long Term Liabilities and Deferred Income;Funding;Stockholders’ Equity;Net Income;Total Regulatory Capital;Total Capital Ratio;Fixed Assets Ratio;Branches;Banking Service Outposts;
BANCO CNH INDUSTRIAL CAPITAL S.A - PRUDENCIAL;1000081407;b2;S3;I;3;CURITIBA;PR;09/2017;2,357,943;2,181,989;1,934,536;1,819,510;423,407;22,656;411,442;17.95%;0.81%;1;0
BCO DES. DE MG S.A. - PRUDENCIAL;1000081328;b4;S3;I;1;BELO HORIZONTE;MG;09/2017;2,351,437;1,853,782;1,806,698;1,588,730;544,739;682;317,385;15.34%;11.15%;1;0
COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DOS ESTADOS DO PARANÁ, SÃO PAULO E RIO DE JANEIRO - CENTRAL SICREDI PR/SP/RJ;80230774;b3C;S3;I;2;CURITIBA;PR;09/2017;2,254,631;41,333;2,193,598;0;61,033;0;33,590;16.14%;3.73%;0;0
BCO SUMITOMO MITSUI BRASIL S.A. - PRUDENCIAL;1000081720;b1;S3;C;3;SAO PAULO;SP;09/2017;2,251,126;663,074;1,965,995;1,608,071;285,131;-463;470,438;26.05%;0.30%;1;0
APE POUPEX - PRUDENCIAL;1000081184;n1;S3;I;2;BRASILIA;DF;09/2017;2,233,350;521,552;421,038;381,632;1,812,312;5,561;210,847;23.99%;6.43%;63;0
JOHN DEERE - PRUDENCIAL;1000080343;b1;S4;C;3;INDAIATUBA;SP;09/2017;2,214,744;2,209,310;1,898,206;1,797,676;316,538;5,949;334,412;15.60%;0.60%;2;0
BCO FIBRA S.A. - PRUDENCIAL;1000081483;b1;S3;C;2;SAO PAULO;SP;09/2017;2,192,518;1,006,842;1,878,957;1,660,832;313,560;-5,447;174,390;11.88%;3.48%;4;0
BCO CSF S.A. - PRUDENCIAL;1000081610;b2;S3;I;3;SAO PAULO;SP;09/2017;2,121,755;1,772,043;1,490,512;198,063;631,243;12,653;410,192;23.07%;15.63%;2;0
COOPERATIVA CENTRAL DE CRÉDITO DE SANTA CATARINA E RIO GRANDE DO SUL - SICOOB CENTRAL SC/RS;80160260;b3C;S4;I;2;FLORIANOPOLIS;SC;09/2017;2,092,058;12,732;1,990,892;1,122,070;101,167;0;71,629;15.31%;3.91%;0;0
BCO DO EST. DO PA S.A. - PRUDENCIAL;1000081586;b1;S4;I;1;BELEM;PA;09/2017;2,067,841;1,236,145;1,766,267;1,668,756;301,573;19,024;280,420;21.42%;9.99%;113;31
HAITONG - PRUDENCIAL;1000080666;b2;S3;C;3;SAO PAULO;SP;09/2017;2,038,982;143,675;1,858,624;1,694,193;180,359;-3,171;165,282;16.91%;4.52%;4;0
COOPERATIVA CENTRAL DE CRÉDITO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CREDIMINAS;25683434;b3C;S4;I;2;BELO HORIZONTE;MG;09/2017;1,994,891;1,409;1,853,205;100,171;141,686;2,548;86,472;16.22%;19.18%;0;0
PORTO SEGURO - PRUDENCIAL;1000080642;n1;S4;C;2;SAO PAULO;SP;09/2017;1,779,747;1,678,293;1,584,474;334,814;195,273;12,819;194,388;13.74%;0.21%;3;0
COOPERATIVA CENTRAL DE CRÉDITO DO ESTADO DE SÃO PAULO - SICOOB SÃO PAULO;63917579;b3C;S4;I;2;RIBEIRAO PRETO;SP;09/2017;1,741,162;0;1,661,096;1,613,820;80,066;1,515;49,824;14.02%;1.83%;0;0
PARANÁ BANCO - PRUDENCIAL;1000080233;b1;S4;C;2;CURITIBA;PR;09/2017;1,729,788;1,166,896;1,327,992;1,273,060;401,795;23,727;253,511;21.41%;27.13%;2;0
COOPERATIVA DE CREDITO CREDICITRUS;54037916;b3S;S4;I;2;BEBEDOURO;SP;09/2017;1,719,742;826,853;1,291,339;970,647;428,402;13,376;427,989;35.72%;5.83%;0;0
BCO TOYOTA DO BRASIL S.A. - PRUDENCIAL;1000081562;b2;S4;I;3;SAO PAULO;SP;09/2017;1,685,775;1,365,410;1,496,727;1,260,681;189,048;5,597;167,798;13.84%;2.09%;1;0
BCO DE LAGE LANDEN BRASIL S.A. - PRUDENCIAL;1000081421;b2;S4;I;3;PORTO ALEGRE;RS;09/2017;1,663,396;1,489,703;1,380,164;1,291,613;283,232;8,114;283,232;20.84%;0.85%;2;0
HONDA - PRUDENCIAL;1000080611;b2;S4;C;3;SAO PAULO;SP;09/2017;1,600,840;1,085,112;1,112,108;867,862;488,731;21,576;311,823;23.87%;0.94%;2;0
BOCOM - PRUDENCIAL;1000084624;b1;S4;C;3;SALVADOR;BA;09/2017;1,579,378;914,815;1,399,269;1,334,416;180,109;-1,405;174,475;14.85%;0.72%;6;0
BCO DO EST. DE SE S.A. - PRUDENCIAL;1000081634;b1;S4;I;1;ARACAJU;SE;09/2017;1,552,415;719,163;1,437,575;1,249,797;114,840;6,990;131,335;15.38%;20.84%;63;10
CENTRAL DAS COOPERATIVAS DE ECONOMIA E CREDITO DO ESTADO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CECREMGE;309024;b3C;S4;I;2;BELO HORIZONTE;MG;09/2017;1,510,779;21,960;1,454,218;17,764;56,562;1,165;35,103;11.12%;3.50%;0;0
CREFISA S.A. CFI - PRUDENCIAL;1000083632;b1;S4;C;2;SAO PAULO;SP;09/2017;1,501,957;676,659;177,981;19,879;1,323,976;75,881;1,319,357;52.86%;0.92%;2;0
BANCO FIDIS - PRUDENCIAL;1000081751;b2;S4;I;3;BETIM;MG;09/2017;1,440,515;1,008,445;1,231,537;1,124,487;208,978;5,515;200,975;20.11%;0.62%;2;0
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;S5;I;2;BLUMENAU;SC;09/2017;1,399,453;696,369;1,064,183;969,440;335,270;17,151;335,192;37.25%;1.56%;0;0
SOFISA - PRUDENCIAL;1000080271;b1;S4;C;2;SAO PAULO;SP;09/2017;1,394,844;775,025;1,155,786;1,078,365;239,058;7,277;212,160;22.02%;11.71%;16;0
BCO CARGILL S.A. - PRUDENCIAL;1000081414;b1;S4;I;3;SAO PAULO;SP;09/2017;1,342,927;732,248;1,202,930;715,016;139,997;-9,284;139,997;17.78%;0.09%;1;0
MIZUHO - PRUDENCIAL;1000080697;b1;S4;C;3;SAO PAULO;SP;09/2017;1,174,353;157,390;987,414;595,515;186,939;8,155;184,576;31.11%;0.74%;1;0
COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DO CENTRO NORTE DO BRASIL - CENTRAL SICREDI CENTRO NORTE;33667205;b3C;S4;I;2;CUIABA;MT;09/2017;1,169,244;18,940;1,130,472;0;38,773;0;22,007;18.50%;3.16%;0;0
SCOTIABANK BRASIL - PRUDENCIAL;1000081452;b1;S4;I;3;SAO PAULO;SP;09/2017;1,157,465;308,320;996,419;817,518;161,045;2,684;159,593;25.94%;0.62%;1;0
VOLVO - PRUDENCIAL;1000080769;b2;S4;C;3;CURITIBA;PR;09/2017;1,123,648;976,244;881,691;842,832;241,957;4,867;240,180;22.09%;1.54%;1;0
BANCO IBM S.A. - PRUDENCIAL;1000081689;b2;S4;I;3;RIO DE JANEIRO;RJ;09/2017;1,108,996;797,918;947,972;857,135;161,024;5,247;161,024;26.81%;0.00%;2;0
INTERMEDIUM - PRUDENCIAL;1000080996;b1;S4;C;2;BELO HORIZONTE;MG;09/2017;1,107,113;782,333;990,163;944,424;116,950;3,307;116,729;16.52%;2.24%;40;0
BADESUL DESENVOLVIMENTO AF/RS - PRUDENCIAL;1000081029;n1;S4;I;1;PORTO ALEGRE;RS;09/2017;1,095,402;870,840;883,244;841,593;212,159;3,558;NI;NI%;0.00%;1;0
BCO MODAL S.A. - PRUDENCIAL;1000081658;b1;S4;C;2;RIO DE JANEIRO;RJ;09/2017;1,070,981;201,290;950,761;634,959;120,220;-705;110,039;11.96%;3.39%;3;0
COOPERATIVA CENTRAL DE CRÉDITO URBANO - CECRED;5463212;b3C;S4;I;2;BLUMENAU;SC;09/2017;1,034,065;19,099;955,129;40,303;78,936;0;75,663;38.50%;3.41%;0;0
MIDWAY S.A. - SCFI - PRUDENCIAL;1000083553;n1;S4;I;2;SAO PAULO;SP;09/2017;1,028,495;927,927;778,812;310,254;249,682;12,105;248,630;25.64%;0.18%;2;0
INDUSVAL - PRUDENCIAL;1000080415;b1;S4;C;2;SAO PAULO;SP;09/2017;1,002,423;261,578;887,793;813,079;114,630;-23,032;32,584;5.72%;56.04%;13;0
SICOOB COCRED COOPERATIVA DE CRÉDITO;71328769;b3S;S4;I;2;SERTAOZINHO;SP;09/2017;981,198;549,075;866,785;560,066;114,413;4,202;108,558;12.20%;3.89%;0;0
INDUSTRIAL DO BRASIL - PRUDENCIAL;1000080477;b1;S4;C;2;SAO PAULO;SP;09/2017;952,261;553,939;793,234;758,184;159,026;2,082;158,651;16.78%;6.73%;8;0
BCO CATERPILLAR S.A. - PRUDENCIAL;1000081397;b2;S4;I;3;SAO PAULO;SP;09/2017;943,347;911,536;674,332;636,112;269,015;348;276,945;26.92%;0.60%;1;0
SOCOPA - PRUDENCIAL;1000080381;b1;S4;C;2;SAO PAULO;SP;09/2017;941,792;149,160;870,987;585,949;70,805;5,369;67,048;19.45%;2.81%;2;0
STANDARD CHARTERED BI S.A. - PRUDENCIAL;1000081373;b2;S4;I;3;SAO PAULO;SP;09/2017;880,662;0;782,392;446,417;98,270;-237;97,887;28.49%;1.25%;2;0
BONSUCESSO - PRUDENCIAL;1000080422;b1;S4;I;2;BELO HORIZONTE;MG;09/2017;879,873;264,440;805,202;470,708;74,671;5,266;88,833;13.06%;24.82%;2;0
CREDICOAMO CREDITO RURAL COOPERATIVA;81723108;b3S;S4;I;2;CAMPO MOURAO;PR;09/2017;841,672;376,747;668,325;650,205;173,347;5,320;173,128;40.16%;0.17%;0;0
COOPERATIVA CENTRAL DE CRÉDITO DO NORTE/NORDESTE - CENTRAL SICREDI NORTE/NORDESTE;70119680;b3C;S4;I;2;CABEDELO;PB;09/2017;834,683;36,277;786,725;0;47,958;1,365;47,830;62.72%;4.63%;0;0
COOPERATIVA CENTRAL DE CREDITO DO ESPIRITO SANTO - SICOOB CENTRAL ES;32428294;b3C;S4;I;2;VITORIA;ES;09/2017;831,193;13,668;794,358;74,980;36,835;342;28,077;15.10%;17.51%;0;0
COOPERATIVA CENTRAL DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA - CENTRAL CRESOL BASER;1401771;b3C;S4;I;2;FRANCISCO BELTRAO;PR;09/2017;825,156;2,232;795,374;552,406;29,782;4,321;29,775;11.98%;23.36%;0;0
OMNI - PRUDENCIAL;1000080460;b1;S4;C;2;SAO PAULO;SP;09/2017;811,802;664,738;718,860;568,093;92,942;4,997;124,067;14.73%;0.62%;4;0
PERNAMBUCANAS - PRUDENCIAL;1000080305;n1;S4;I;2;SAO PAULO;SP;09/2017;798,499;710,600;623,822;155,487;174,677;2,335;140,146;15.45%;4.38%;1;0
RODOBENS - PRUDENCIAL;1000080855;b1;S4;C;2;SAO PAULO;SP;09/2017;788,612;387,938;433,801;296,743;354,811;18,519;288,230;25.42%;30.09%;3;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIÃO PARANÁ/SÃO PAULO - SICREDI UNIÃO PR/SP;79342069;b3S;S4;I;2;MARINGA;PR;09/2017;740,862;448,289;647,516;436,216;93,346;3,680;90,817;16.02%;23.90%;0;0
COOPERATIVA CENTRAL DE ECONOMIA E CRÉDITO MÚTUO DAS UNICRED'S DE SANTA CATARINA E DO PARANÁ LTDA - UNICRED CENTRAL SC/PR;543968;b3C;S4;I;2;FLORIANOPOLIS;SC;09/2017;737,657;0;712,481;0;25,176;-124;23,728;12.32%;3.14%;0;0
BCO TRIANGULO S.A. - PRUDENCIAL;1000081438;b1;S4;I;2;UBERLANDIA;MG;09/2017;730,229;470,277;580,842;458,683;149,387;5,397;138,647;17.55%;15.78%;1;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO SICREDI PIONEIRA RS - SICREDI PIONEIRA RS;91586982;b3S;S4;I;2;NOVA PETROPOLIS;RS;09/2017;702,351;234,982;597,608;537,954;104,743;5,565;102,633;26.89%;6.86%;0;0
COOPERFORTE - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DE INSTITUIÇÕES FINANCEIRAS PÚBLICAS FEDERAIS LTDA.;1658426;b3S;S5;I;2;BRASILIA;DF;09/2017;698,915;456,313;542,640;521,858;156,275;6,610;156,160;28.95%;1.40%;0;0
SICOOB CREDICOM - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS E PROFISSIONAIS DA ÁREA DE SAÚDE DE MINAS GERAIS LTDA.;42898825;b3S;S4;I;2;BELO HORIZONTE;MG;09/2017;666,334;229,255;573,243;560,703;93,091;4,284;93,018;23.29%;2.84%;0;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VANGUARDA DA REGIÃO DAS CATARATAS DO IGUAÇU E VALE DO PARAÍBA - SICREDI VANGUARDA PR/SP/RJ;78414067;b3S;S4;I;2;MEDIANEIRA;PR;09/2017;664,362;358,097;563,460;406,198;100,901;4,981;99,895;19.23%;16.61%;0;0
SCANIA - PRUDENCIAL;1000080776;b2;S4;C;3;SAO BERNARDO DO CAMPO;SP;09/2017;660,072;521,563;565,292;466,612;94,780;4,504;108,461;15.33%;1.40%;2;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO OURO VERDE DO MATO GROSSO - SICREDI OURO VERDE MT;26529420;b3S;S4;I;2;LUCAS DO RIO VERDE;MT;09/2017;650,225;369,636;495,987;311,261;154,238;5,340;153,167;27.64%;5.48%;0;0
CENTRAL DAS COOPERATIVAS DE CREDITO UNICOOB - SICOOB CENTRAL UNICOOB;5036532;b3C;S4;I;2;MARINGA;PR;09/2017;647,845;1,894;620,058;0;27,788;-641;16,149;10.58%;53.22%;0;0
CAIXA GERAL - PRUDENCIAL;1000080927;b1;S4;C;3;SAO PAULO;SP;09/2017;613,966;146,264;462,831;349,190;151,135;-715;149,515;36.17%;0.62%;3;0
RENDIMENTO - PRUDENCIAL;1000080659;b1;S4;C;2;SAO PAULO;SP;09/2017;610,242;219,456;524,091;306,183;86,151;4,789;82,462;14.61%;5.43%;13;1
UNIPRIME NORTE DO PARANÁ - COOPERATIVA DE CRÉDITO LTDA;2398976;b3S;S4;I;2;LONDRINA;PR;09/2017;594,872;193,032;423,344;392,457;171,529;6,571;170,948;41.27%;2.13%;0;0
COOPERATIVA CENTRAL DE CRÉDITO DE GOIÁS LTDA;33416108;b3C;S4;I;2;GOIANIA;GO;09/2017;592,391;2,274;556,433;0;35,959;931;18,411;17.53%;8.38%;0;0
BCO ABN AMRO S.A. - PRUDENCIAL;1000081579;b1;S4;I;3;SAO PAULO;SP;09/2017;590,489;328,633;413,458;359,758;177,032;3,088;172,793;30.56%;0.59%;1;0
AF PARANÁ - PRUDENCIAL;1000081115;n1;S4;I;1;CURITIBA;PR;09/2017;584,210;377,654;87,930;64,151;496,280;5,150;75,312;40.45%;0.50%;1;0
UNIPRIME CENTRAL - CENTRAL INTERESTADUAL DE COOPERATIVAS DE CREDITO LTDA.;3046391;b3C;S4;I;2;LONDRINA;PR;09/2017;575,490;0;568,361;1,752;7,128;0;6,637;18.04%;13.15%;0;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DE CARLOS BARBOSA - SICREDI SERRANA RS;90608712;b3S;S4;I;2;CARLOS BARBOSA;RS;09/2017;565,196;210,529;493,340;413,154;71,856;4,313;74,809;20.89%;7.41%;0;0
COOPERATIVA DE CRÉDITO MAXI ALFA DE LIVRE ADMISSÃO DE ASSOCIADOS - SICOOB MAXICRÉDITO;78825270;b3S;S5;I;2;CHAPECO;SC;09/2017;562,111;301,136;492,776;433,422;69,335;3,588;69,236;17.36%;17.29%;0;0
COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DE MATO GROSSO DO SUL, GOIÁS, DISTRITO FEDERAL E TOCANTINS – CENTRAL SICREDI BRASIL CENTRAL;33737818;b3C;S4;I;2;GOIANIA;GO;09/2017;550,730;10,589;539,394;4,177;11,336;0;7,228;12.03%;7.14%;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS SERRO AZUL - SICREDI UNIÃO RS;88894548;b3S;S4;I;2;CERRO LARGO;RS;09/2017;539,990;289,956;439,365;310,487;100,625;4,607;97,227;23.13%;9.61%;0;0
CENTRAL DE COOPERATIVAS DE ECONOMIA E CRÉDITO MÚTUO DO ESTADO DO RIO GRANDE DO SUL LTDA - UNICRED CENTRAL RS;1634601;b3C;S4;I;2;PORTO ALEGRE;RS;09/2017;531,928;0;517,806;0;14,122;0;13,715;13.71%;18.88%;0;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DA REGIÃO DOS VALES - SICREDI REGIÃO DOS VALES RS;89126130;b3S;S4;I;2;ENCANTADO;RS;09/2017;518,846;129,884;410,252;373,027;108,595;4,270;107,482;38.89%;11.57%;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO CENTRO BRASILEIRA LTDA.;37395399;b3S;S5;I;2;GOIANIA;GO;09/2017;510,678;271,451;407,416;375,418;103,262;9,336;103,142;33.30%;8.90%;0;0
AF DESENVOLVE SP S.A. - PRUDENCIAL;1000081153;n1;S4;I;1;SAO PAULO;SP;09/2017;505,589;365,717;170,288;154,259;335,301;3,564;223,956;48.73%;4.60%;1;0
